,product_name,price_low,price_high,Battery Capacity,Battery Type,Body Type,Claimed Range,Continious Power,Drive Type,Fast Charging,Fast Charging Time,Gear Box,Gradeability,Kerb Weight,Load Carrying Capacity,Max Torque,Motor IP Rating,Motor Power (w),Motor Type,Motor Warranty,No. Of Batteries,Range (Eco Mode),Range (Normal Mode),Range (Sport Mode),Seat Type,Swappable Battery,Top Speed,Torque (Motor),Torque (Wheel),Transmission,Tyre Size,Water Proof Rating,kwh,V,Ah,kw_calc,Bat Cap
99,NDS ECO MOTORS Lio Plus,124000,124000,72V/21 Ah,Lithium Ion,Electric Bikes,165 km/charge,,Hub Motor,,,,,100 kg,,152.78 Nm @ 100 rpm,,1600,BLDC,,2,225 km/charge,190 km/charge,165 km/charge,Single,,55 kmph,152.78Nm @ 100rpm,,Automatic,"Front :-90/90-12,	Rear :-90/90-12",,,72,21,1.512,1.512
100,Numeros Motors Diplos,60265,128000,3.8 Kwh,NMC,Electric Bikes,100 km/charge,1500,,Yes,,,14 Degree,135 kg,102 kg,,,2700,Hub Motor,,2,90+ km/charge,75+ km/charge,,Single,Yes,65 Kmph,,,Automatic,"Front :-90/90-12	Rear :-90/90-12",IP67,3.8,,,,3.8
101,iVOOMi S1,84999,84999,60 V / 35 Ah,Lithium Ion,Electric Bikes,100- 115 km/charge,,Hub Motor,,,,18 Degree,78 kg,180 kg,,,2000,,,,115 km/charge,,,Single,Yes,55 kmph,,,,"Front :-90-90/10	Rear :-90-100/10",,,60,35,2.1,2.1
102,Rowwet Eleq,116000,116000,72 V / 30 Ah,Lithium Ion,Electric Bikes,,,Hub Motor,,,,,,,,,2000,,,,145 km/charge,120 km/charge,,Single,,65 kmph,,,,,,,72,30,2.16,2.16
103,Velev Motors VIO,52000,52000,48 V/20 Ah,,Electric Bikes,60-70 km/charge,,Hub Motor,,,,,,,,,250,BLDC,,,,,,Single,,25 kmph,,,Automatic,,,,48,20,0.96,0.96
104,Komaki LY,95866,95866,62 V / 34 Ah,Lithium Ion,Electric Bikes,80-85km/charge,,Hub Motor,,,,,,,,,,,,,,,,Single,,,,,Automatic,,,,62,34,2.108,2.108
105,Merico Fashia,61311,61311,60 V,VRLA,Electric Bikes,,,Hub Motor,,,,12Â°,58.60 kg,150 kg,,,250 W,BLDC,,,,,,Single,,,,,Automatic,"Front :-3-10	Rear :-3-10",,,,,,
106,Benling Aura,94296,94296,72 V / 40 Ah,LFP/NCM,Electric Bikes,120 Km/charge,3000,Hub Drive,Yes,,,18Â°,,248 kg,,,3200,BLDC,,,120 Km/charge,,70-75 km/charge,Single,Yes,65 kmph,,,Automatic,"Front :-90/90-12	Rear :-90/90-12",,,72,40,2.88,2.88
107,Kabira Mobility Aetos 100,65490,65490,60 V/35 Ah,Lithium Ion,Electric Bikes,110 km/charge,,Hub Motor,Yes,,,,,,,,250,BLDC,1 Year,,,,,Single,,24 kmph,,,Automatic,,,,60,35,2.1,2.1
108,Thunderbolt Bee Plus,86999,86999,nan,NMC,Electric Bikes,,,Hub Motor,,,,,,150 kg,,,,,,,,,,Single,,60 Kmph,,,,,,,,,,
109,Avon E Mate,45000,45000,48 V/20 Ah,VRLA,Electric Bikes,65 km/charge,,Hub Motor,,,,,,120 Kg,,,188,BLDC,,,,,,Single,,18 kmph,,,Automatic,"Front :-3.00-10,	Rear :-3.00-10",,,48,20,0.96,0.96
110,EVeium CZAR,216000,216000,"72 V, 42 Ah",Lithium Ion,Electric Bikes,150 km/charge,,Hub Motor,,,,,115 kg,150 kg,,,4000,BLDC,,,,,,Single,,85 kmph,,,,"Front :-120/70-12	Rear :-120/70-12",,,72,42,3.024,3.024
111,Deltic Trento,127000,127000,72 V / 36 Ah,Lithium-Ion,Electric Bikes,75 km/charge,3000,,,,,10 Degree,85 kg (Without Bettery),,,,1800,BLDC,1 Years,1,,,,Single,,45 kmph,,,,,,,72,36,2.592,2.592
112,Stella Automobili BUZZ,95000,95000,2.16 kWh,Lithium Ion,Electric Bikes,90 km/charge,,Hub Motor,,,,,,150 kg,,,2000,BLDC,,,,,,Single,,55 kmph,,,,,,2.16,,,,2.16
113,Raftaar Galaxy,51900,51900,64 V / 30 Ah,LFP,Electric Bikes,100 km/charge,,Hub Motor,,,,25 Degree,,,,,250,BLDC,,,,,,Single,Yes,,,,,"Front :-90/100-10,	Rear :-90/100-10",,,64,30,1.92,1.92
114,Tunwal Elektrika 60,65040,65040,60 V/26 Ah,Lithium Ion,"Electric Bikes, Moped Bikes",70-120 km/charge,,Hub Motor,,,,,,,,,,BLDC,,,,,,Single,,,,,,"Front :-3.00-12	Rear :-3.00-12",,,60,26,1.56,1.56
115,Avon E Star,60000,60000,48 V/33 Ah,Lead Acid,Electric Bikes,65 km/charge,,Hub Motor,,,,,,120 kg,,,1000,BLDC,,,,,,Single,,50 kmph,,,Automatic,"Front :-3.00-10,	Rear :-3.00-10",,,48,33,1.584,1.584
116,Hayasa Nirbhar,65550,65550,nan,,"Electric Bikes, Moped Bikes",90 km/charge,,Hub Motor,,,,,,150 kg,,,230,,,,,,,Single,,25 kmph,,,,"Front :-3.00 - 10	Rear :-3.00 - 10",,,,,,
117,DAO 703,99999,99999,60 V/30 Ah,Lithium Ion,Electric Bikes,100 km/charge,,Hub Motor,,,,13 degree,85 kg,150 kg,,,3500,BLDC,,,,,,Single,,70 kmph,,,Automatic,"Front :-120/70-12	Rear :-100/80-12",,,60,30,1.8,1.8
118,RBSeVA Legend,77230,77230,60 V/30 Ah,Lithium Ion,Electric Bikes,80-100 km/charge,,Hub Motor,,,,,,Up to 200 kg,,,,,,,,,,Single,,,,,Automatic,,,,60,30,1.8,1.8
119,Shema Tuff,70500,70500,48 V / 25 Ah,Lithium Ion,"Electric Bikes, Moped Bikes",75 km,,Hub Motor,,,,10 Degress,,150 kg,,,250,,,,,,,,,25 kmph,,,Automatic,"Front :-3.00 - 16	Rear :-3.00 - 16",,,48,25,1.2,1.2
120,Birla DMS,163000,231000,105 Ah,Lithium Ion,Electric Bikes,,,,,,,,,,,,,,,,,,,,,,,,Automatic,,,,,105,,
121,Trinity Motors Saathi,85999,93999,48 V / 30 ah,LFP,"Electric Bikes, Moped Bikes",,,Hub Motor,,,,10 degree,58 kg,,,,250,,,,,,,Single,,25 kmph,,,,,,,48,30,1.44,1.44
122,Shema Fly,61000,61000,48 V / 25 Ah,Lithium Ion,Electric Bikes,75 Kms,,Hub Motor,,,,10 Degress,,150 kg,,,250,,,,,,,Single,,25 Kmph,,,Automatic,"Front :-3.00 - 16	Rear :-3.00 - 16",,,48,25,1.2,1.2
123,DAO Zor 405,77349,77349,60 V/20 Ah,Lithium Ion,Electric Bikes,70 km/charge,,Hub Motor,,,,13 degree,80 kg,250 kg,,,2100,BLDC,,,,,,Single,,45 kmph,,,Automatic,"Front :-3.00-10	Rear :-90/90-12",,,60,20,1.2,1.2
124,iGowise Mobility iGowise BeiGo X4,110000,110000,nan,,Electric Bikes,150 km/charge,,Hub Motor,,,,,,,,,,,,,,,,Single,,,,,Automatic,,,,,,,
125,M2GO X1,111000,111000,60 V/26 Ah,Lithium-Ion,Electric Bikes,120 km/charge,,Hub Motor,,,,,,180 kg,,,2020,,,,,,,Single,,50 kmph,,,Automatic,,,,60,26,1.56,1.56
126,Odysse Electric E2Go,59750,71100,60V/28 Ah,Lithium-Ion,Electric Bikes,60 km/charge,,Hub Motor,,,,,,,,,250,BLDC,,,,,,Single,,25 kmph,,,Automatic,,,,60,28,1.68,1.68
127,GT One,62850,85945,60 V / 26 Ah,Lithium Ion,Electric Bikes,60 - 65 km/hours,,Hub Motor,,,,9 Degree,88 kg,140 kg,,,,BLDC,18 Month,,,,,,,,,,Automatic,"Front :-3.00 - 10	Rear :-3.00 - 10",,,60,26,1.56,1.56
128,Joy e-bike Wolf,79900,79900,60 V / 23 Ah,Lithium-Ion,Electric Bikes,60 km/charge,,Hub Motor,Yes,,,,67 kg,140 kg,,,250,BLDC,,,,,,Single,,25 kmph,,,Automatic,,,,60,23,1.38,1.38
129,Benling Kriti,64151,64151,48 V / 28 Ah,Lithium-ion,Electric Bikes,60 km/charge,1200,Hub Motor,,,,8 Degree,66 kg,248 kg,,,250,Brushless Motor,,,60-70 km/charge,,60 km/charge,Single,Yes,25 kmph,,,Automatic,"Front :-90/90-12	Rear :-90/90-12",,,48,28,1.344,1.344
130,Okaya Faast F2B,91999,91999,72 V / 30 Ah,Lithium Ferrous Phosphate,Electric Bikes,80 - 85 km/charge,1200 W,,Yes,,,,,,,,2500,BLDC,3 Years,1,,,,Single,Yes,70 kmph,,,,,,,72,30,2.16,2.16
131,Kabira Mobility Intercity Aeolus,71490,71490,60 V/35 Ah,Lithium-Ion,Electric Bikes,110 km/charge,,Hub Motor,Yes,,,,,,,,250,BLDC,1 Year,,,,,Single,,24 kmph,,,Automatic,,,,60,35,2.1,2.1
132,Ujaas eGo LA,34880,39880,60 V/26 Ah,Lead Acid,Electric Bikes,75 km/charge,,Hub Motor,,,,,,,,,250,,,,,,,Single,,,,,Automatic,"Front :-3.10-10,	Rear :-3.10-10",,,60,26,1.56,1.56
133,RBSeVA Rider New,70750,70750,60 V/24 Ah,Lithium Ion,Electric Bikes,70-80 km/charge,,Hub Motor,,,,,,Up to 200 kg,,,,,,,,,,Single,,,,,Automatic,,,,60,24,1.44,1.44
134,Fidato Evtech EasyGo Plus,95605,95605,60V/30 Ah,Lithium-Ion,Electric Bikes,80-110 km/charge,,Hub Motor,,,,,,200 kg,,,,Brushless DC,,,,,,Single,,,,,,"Front :-90/100-12	Rear :-90/100-12",,,60,30,1.8,1.8
135,Shema Zoom,67000,67000,48V / 25Ah,Lithium Ion,Electric Bikes,75 km,,,,,,10 Degress,,150 kg,,,250,,,,,,,,,25 kmph,,,Automatic,"Front :-3.00 - 16	Rear :-3.00 - 16",,,48,25,1.2,1.2
136,EeVe Atreo,68999,68999,72 V / 27 Ah,Lead Acid,Electric Bikes,75-85 km/charge,,Hub Motor,,,,,101 kg,140 kg,,,250,BLDC,,,,,,Single,,25 Kmph,,,Automatic,"Front :-90/100-10,	Rear :-90/100-10",,,72,27,1.944,1.944
137,EeVe Ahava,62499,62499,60 V / 27 Ah,Lead Acid,Electric Bikes,60-70 km/charge,,Hub Motor,,,,,94 kg,140 kg,,,250,BLDC,,,,,,Single,Yes,25 Kmph,,,Automatic,"Front :-90/100-10,	Rear :-90/100-10",,,60,27,1.62,1.62
138,Stella Automobili SA 2000,86000,94000,nan,Lithium Ion,Electric Bikes,60-70 km/charge,,Hub Motor,,,,,,150 kg,,,250,BLDC,2 Year,,,,,Single,,,,,Automatic,"Front :-3.00-10,	Rear :- 3.00-10",,,,,,
139,Birla DMG,237000,305000,105 Ah,Lithium Ion,Electric Bikes,,,,,,,,,,,,,,,,,,,,,,,,Automatic,,,,,105,,
140,Velev Motors VEV 01,32500,32500,48 V/24 Ah,Sealed Lead Acid,Electric Bikes,75-80 km/charge,,Hub Motor,,,,,34 kg,100 kg,,,250,BLDC,,,,,,,,25 kmph,,,Automatic,,,,48,24,1.152,1.152
141,SUPER ECO Super Eco T1,56772,56772,60 V/21 Ah,Lithium-ion,Electric Bikes,70 -80 km/charge,,Hub Motor,,,,,,,,,800,,,,,,,Single,,55 kmph,,,Automatic,,,,60,21,1.26,1.26
142,Omega Seiki Mobility Omega Sharq,75600,75600,60 V / 29 Ah,Lithium-Ion,Electric Bikes,70 -95 Km/charge,,,,,,16,,,,,250,BLDC Hub Motor,1 Years,,,,,Single,,25 kmph,,,,"Front :-3.00-10	Rear :-3.00-10",,,60,29,1.74,1.74
143,One Moto Commuta,130000,130000,60 V/27.5 Ah,Lithium-Ion,Electric Bikes,80 km/charge,,Hub Motor,,,,,102 kg,150 kg,,,2000,Brushless DC,,,,,,Single,,55 kmph,,,,"Front :-3.50-10,	Rear :-3.50-10",,,60,27.5,1.65,1.65
144,Shema Eagle,71000,102000,"51.2 V, 31.2 Ah",Lithium Ion,Electric Bikes,160 km/charge,,Hub Motor,,,,10 Degree,,150 kg,,,250,,,2,,,,Single,,25 kmph,,,Automatic,"Front :-3.00 - 10	Rear :-3.00 - 10",,,51.2,31.2,1.59744,1.59744
145,Birla JF,163000,231000,105 Ah,Lithium Ion,Electric Bikes,,,,,,,,,,,,,,,,,,,Split,,,,,Automatic,,,,,105,,
146,Earth Energy EV Evolve Z,130000,130000,96 Ah,Lithium Ion,"Electric Bikes, Sports Bikes",100 km/charge,,Chain Drive,Yes,,,15 Â°,,,56 Nm,,,,,,,,,Split,,95 kmph,,,,,,,,96,,
147,Cyborg Bob-e,94999,94999,72 V/2.88 kWH,BMS Battery,Electric Bikes,110 km/charge,,Hub Drive,,,,,,150 kg,,,8500,BLDC,3 YEARS,,110 km/charge,,,Single,,85 kmph,,,Automatic,"Front :-120/70-12,	Rear :-120/70-12",,2.88,,,,2.88
148,Hero Electric Atria,77690,77690,51.2 V/30 Ah,Li-ion,Electric Bikes,85 km/charge,,Hub Motor,,,,,,,,,250,,,,,,,Single,,25 kmph,,,Automatic,,,,51.2,30,1.536,1.536
149,Jitendra JMT 1000 3K,84417,84417,3.120 Kwh,Lithium Ion,Electric Bikes,126 km/charge,,Hub Motor,,,,7 Degree,90 kg,150 kg,,IP 65,1000,BLDC,3 Yearrs,2,,,,Split,Yes,51.93 kmph,,,Automatic,"Front :-90/90-10	Rear :-90/90-10",,3.12,,,,3.12
150,Crayon Zeez,48000,58000,60 V,Lithium-ion,Electric Bikes,,,Hub Motor,,,,,,150 kg,,,250,BLDC,,,,,,Single,,25 kmph,,,Automatic,"Front :-3.00-10	Rear :-3.00-10",,,,,,
151,Prevail Electric Elite,130000,130000,nan,Lithium-ion,Electric Bikes,220 km/charge,,,,,,30Â°,,200 kg,,,1000,,,,,,,Single,,80 kmph,,,,"Front :-3.5-12	Rear :-3.5-12",,,,,,3
152,Birla XL,152000,152000,nan,Lithium Ion,Electric Bikes,,,Hub Motor,,,,,,,,,,BLDC,,,,,,Split,Yes,,,,Automatic,"Front :-120/70-12	Rear :-120/70-12",,,,,,
153,BattRE Electric gps:ie,73900,73900,48 V / 24 Ah,Lithium Ion,Electric Bikes,65 km/charge,,Hub Motor,,,,,60 kg,,,,,BLDC,,,,,,Single,,,,,Automatic,"Front :-3.00-10,	Rear :-3.00-10",,,48,24,1.152,1.152
154,Benling Falcon,69540,69540,60 V / 30 Ah,Lithium-ion,Electric Bikes,70-75 km/charge,,Hub Motor,,,,8 Degree,,248 kg,,,250,BLDC,,,70-75 km/charge,,65-70 km/charge,Single,Yes,25 kmph,,,Automatic,"Front :-90/90-10	Rear :-90/90-10",,,60,30,1.8,1.8
155,Ujaas eGo Li,50880,53880,60 V/ 26 Ah,Lithium Ion,Electric Bikes,75 km/charge,,Hub Motor,,,,,,,,,250,,,,,,,Single,,,,,Automatic,"Front :-3.10-10,	Rear :-3.10-10",,,60,26,1.56,1.56
156,GT Drive Plus,103000,103000,60 V / 42 Ah,Lithium Ion,Electric Bikes,100-110 km/charge,,Hub Motor,,,,15 Degree,88 kg,160 kg,,,1200,BLDC,36 Months,1,100-110 km/charge,80-90 km/charge,65-70 km/charge,Single,,55-60 kmph,,,Automatic,"Front :-3.00 - 10	Rear :-3.00 - 10",,,60,42,2.52,2.52
157,BattRE Electric Storie,89600,89600,3.1 kWh,,Electric Bikes,132 km/charge,,,,,,,,,,,,,,,,,,Single,,,,,Automatic,,,3.1,,,,3.1
158,Gemopai Ryder,60000,84302,48 V / 40 Ah,Lithium-ion,Electric Bikes,90-120 km/charge,,,,,,15Â°,,150 kg,,,250,Brushless Motor,,,,,,Single,Yes,25 kmph,,,Automatic,"Front :-90-100/10	Rear :-90-100/10",,,48,40,1.92,1.92
159,Viertric Mist,72000,72000,48 V/26 Ah,Lithium Ion,Electric Bikes,60-70 km/charge,,,,,,,,150-200 kg,,,250,BLDC,1 Year,,,,,Single,,42-57 kmph,,,,"Front :-3.00-10,	Rear :- 3.00-10",,,48,26,1.248,1.248
160,Okaya Faast F2F,83999,83999,60 V / 36 Ah,LFP,Electric Bikes,70-80 km/charge,,Hub Motor,Yes,,,,,,,,800,BLDC,,1,,,,Single,,45-55 kmph,,,Automatic,,IP67,,60,36,2.16,2.16
161,Birla Electro,76109,110000,35 Ah,Lithium Ion,Electric Bikes,,,Hub Motor,,,,,,,,,,BLDC,,,,,,Single,Yes,,,,Automatic,"Front :-3.00-10	Rear :-3.00-10",,,60,35,,2.1
162,Birla V6,160000,228000,105 Ah,Lithium Ion,Electric Bikes,,,,,,,,,,,,,,,,,,,Split,,,,,Automatic,,,,,105,,
163,Komaki XGT CAT 2.0,96207,102000,72 V / 31 Ah,Lithium Ion,"Electric Bikes, Moped Bikes",95-100 km/charge,,,,,,,,350 Kg,,,,,,,,,,Single,,,,,Automatic,,,,72,31,2.232,2.232
164,Deltic Legion,62490,88990,60.8 V / 30 Ah,Lithium-Ion,Electric Bikes,70 -100 km/charge,,Hub Motor,,,,7 Degree,59 kg Withoit Bettery,,,,250,BLDC,1 Years,1,,,,Single,,25 Kmph,,,Automatic,"Front :-90/90 - 12	Rear :-90/100 - 12",,,60.8,30,1.824,1.824
165,Thunderbolt Electra,79999,79999,2.4 Kw,Lithium-Ion,Electric Bikes,110 - 120 km/charge,,,,,,,,150 kg,,,,,,,,,,Single,,55 Kmph,,,,"Front :-90/90-12	Rear :-90/90-12",,,,,,1.9
166,Gemopai Ryder SuperMax,79999,79999,60 V / 30 Ah,Lithium Ion,Electric Bikes,100 km/charge,1600 W,Hub Motor,,,,20Â°,80 kg,150 kg,,,2700,BLDC,,,,,,Single,Yes,60 kmph,,,,"Front :-90/100-10,	Rear :- 90/100-10",,,60,30,1.8,1.8
167,Greta Electric Greta Harper ZX Series-I,41999,41999,nan,,Electric Bikes,80 km/charge,,Hub Motor,Yes,,,,,,,,,BLDC,,,100 km/charge,80 km/charge,70 km/charge,Single,,,,,Automatic,,,,,,,
168,Evolet Polo,69999,69999,1.5 Kwh,,Electric Bikes,80-100 km/charge,,Hub Motor,,,,9Â°,76 kg,150 kg,,,250,BLDC,1 Year 6 Months,,,,,Single,,25 kmph,,,,"Front :-90/100-10,	Rear :-90/100-10",,1.5,,,,1.5
169,Ola S1 Pro,105000,105000,4 kWh,,Electric Bikes,181 km/charge,5.5 kw,Belt Drive,Yes,,,15Â°,125 kg,,,,8500,Mid Drive IPM,,,170 km/charge,,,Single,,116 kmph,58 Nm,,Automatic,"Front :- 110/70-12,Â 	Rear :-Â 110/70-12",IP67,4,,,,4
170,Okaya Freedum,74900,74900,1.4 kWh,Lithium Ion,Electric Bikes,70-75 km/charge,250 W,Hub Motor,Yes,,,7 Degree,,,,,250,BLDC,3 Years,2,,,,Single,Yes,25 kmph,,,Automatic,,,1.4,,,,1.4
171,Ampere Zeal EX,75000,75000,2.2 kWh,Lithium Ion,Electric Bikes,120 km/charge,1200,Hub Motor,,,,,80 kg,150 kg,,,1800,BLDC,,,,,,Single,,50Â±5 Kmph,19 Nm,,,"Front :-3 - 10	Rear :-3 - 10",,2.2,,,,2.2
172,GRP EV 11 Mini,74500,74500,60 V 25 Ah,LITHIUM ION,Electric Bikes,60-70 km/charge,,Hub Drive,,,,,75 kg,,,,250,,,,,,,Single,,,,,Automatic,"Front :-100/90-10	Rear :-100/90-10",,,60,25,1.5,1.5
173,Birla Spark,69182,101000,35 Ah,Lithium Ion,Electric Bikes,,,Hub Motor,,,,,,,,,,BLDC,,,,,,Single,Yes,,,,Automatic,"Front :-3.00-10	Rear :-3.00-10",,,,35,,
174,GRP EV 11 Maxx,82000,82000,60 V 30 AH / 32 AH,LITHIUM ION,Electric Bikes,90-100 km/charge,,Hub Drive,,,,,80 kg,,,,250,,,,,,,Single,,,,,Automatic,"Front :-100/90-10	Rear :-100/90-10",,,60,32,1.92,1.92
175,Stella Automobili SA 1000,68000,75000,nan,Lithium Ion,Electric Bikes,60-70 km/charge,,Hub Motor,,,,,,150 kg,,,250,BLDC,2 Year,,,,,Single,,,,,Automatic,"Front :-3.00-10,	Rear :- 3.00-10",,,,,,
176,Fidato Evtech Loder,83490,83490,1.44 KWH,Lithium-Ion,"Electric Bikes, Moped Bikes",60-70 km/charge,,Hub Motor,,,,,,180 kg,,,,Brushless DC,,,,,,Single,,,,,,"Front :-90/100-10	Rear :-90/100-10",,1.44,,,,1.44
177,Hero Electric Eddy,72000,72000,51.2V / 30 Ah,Lithium-ion,Electric Bikes,85 km/charge,,Hub Motor,,,,,60 kg,,,,250,BLDC,,,,,,Single,,25 kmph,,,Automatic,"Front :-90/90-12,	Rear :-90/90-12",,,51.2,30,1.536,1.536
178,Zelio Gracy i,56825,59755,60 V/26-40 Ah,Lithium Ion,Electric Bikes,60-120 km/charge,,,,,,,118 kg,150 kg,,,,,,,,,,Single,,,,,,"Front :-90/100-10,	Rear :-90/100-10",,,60,40,2.4,2.4
179,Zelio Gracy,56675,59755,60 V/26-40 Ah,Lithium Ion,Electric Bikes,60-120 km/charge,,,,,,,118 kg,150 kg,,,,,,,,,,Single,,,,,,"Front :-90/100-10,	Rear :-90/100-10",,,60,40,2.4,2.4
180,Joy e-bike Gen Next Nanu Plus,112000,112000,60 V / 36.4 Ah,Lithium-Ion,Electric Bikes,100 km/charge,,Hub Motor,,,,7Â°,85 kg,150 kg,,,1500,Brushless DC,,,,,,Single,,55 kmph,,,Automatic,"Front :-300-10	Rear :-3.00-10",,,60,36.4,2.184,2.184
181,Joy e-bike Wolf Plus,116000,116000,60 V / 35.4 Ah,Lithium-Ion,Electric Bikes,100 km/charge,,Hub Motor,,,,7Â°,85 kg,150 kg,,,1500,Brushless DC,,,,,,Single,,55 kmph,,,Automatic,"Front :-300-10	Rear :-3.00-10",,,60,35.4,2.124,2.124
182,Kabira Hermes 75,89600,89600,60 V/40 Ah,Lithium Ion,Electric Bikes,120 km/charge,4000 W,Hub Motor,,,,,,,,,2500,BLDC,,,,,,Single,,,,,Automatic,,,,60,40,2.4,2.4
183,GRP EV 11 Pro,84000,84000,60 V 30 AH / 32 AH,LITHIUM ION,Electric Bikes,90-100 km/charge,,Hub Drive,,,,,75 kg,,,,250,,,,,,,Single,,,,,Automatic,"Front :-100/90-10	Rear :-100/90-10",,,60,32,1.92,1.92
184,Kabira Mobility Kollegio Neo,55790,55790,48 V/24 Ah,Lithium Ion,Electric Bikes,100 km/charge,,Hub Motor,,,,,,,,,250,BLDC,1 Year,,,,,Single,,24 kmph,,,Automatic,,,,48,24,1.152,1.152
