,product_name,price,price_low,price_high,0-100 Kmph (sec),0-40 Kmph (sec),ABS,ARAI Mileage,Acceleration (0-100 Kmph),Additional Features,Additional Features Of Variant,Additional Storage,Adjustable Windscreen,Anti Theft Alarm,Artificial Exhaust Sound System,Battery Capacity,Battery Type,Battery Warranty,Bluetooth Connectivity,Body Graphics,Body Type,Boot Space,Brakes Front,Brakes Rear,Braking (60-0 Kmph),Braking Type,Call/SMS Alerts,Carry Hook,Carry hook,Central Locking,Charger Output,Charging At Charging Station,Charging At Home,Charging Network / Battery Swapping Network,Charging Point,Charging Station Locater,Charging Time(0-100%),Charging Time(0-80%),Claimed Range,Clock,Continious Power,Continuous Power,Cooling System,Cruise Control,DRLs,Display,Distance to Empty Indicator,Drive Type,Dry Weight,EBS,Electricity Consumed On Full Charge,Engine Kill Switch,External Speakers,Fast Charging,Fast Charging Time,Frame,Front Brake Diameter,Front Tyre Pressure (Rider),Fuel Gauge,Gear Box,Geo Fencing,Gradeability,Ground Clearance,Headlight,Height,Ignition,Instrument Console,Internet Connectivity,Kerb Weight,Keyless Ignition,LED Tail Lights,Length,Load Carrying Capacity,Low Battery Indicator,Max Torque,Mobile Application,Motor IP Rating,Motor Power (w),Motor Type,Motor Warranty,Music Control,Navigation,No. Of Batteries,OTA,Odometer,Operating System,Paddle,Pass Switch,Passenger Backrest,Passenger Footrest,Peak Power,Power Modes,Processor,Projector Headlights,Radial Tyre,Range (Eco Mode),Range (Normal Mode),Range (Sport Mode),Real Time Mileage Indicator,Rear Brake Diameter,Rear Tyre Pressure (Rider),Regenerative Braking,Removable Battery Weight,Reverse Assist,Riding Modes,Roadside Assistance,Saddle Height,Scooter Speed,Seat Type,Service Due Indicator,Speedometer,Starting,Stepup Seat,Suspension Front,Suspension Rear,Swappable Battery,Tachometer,Tail Light,Techometer,Top Speed,Torque (Motor),Torque (Wheel),Total Weight,Transmission,Tripmeter,Tubeless Tyre,Turn Signal Lamp,Tyre Size,USB Charging Port,Underseat storage,Water Proof Rating,Wheel Size,Wheelbase,Wheels Type,Width
64,Trinity Motors Yaarii,"Rs.69,999 - 76,999*",69999.0,76999.0,,,,,,"Controller - 12 Tube Waterproof Sine Wave Controller, One key repair","Controller - 12 Tube Waterproof Sine Wave Controller, One key repair",,,,,48 V / 30 Ah,LFP,,,,Electric Bikes,,Disc,Drum,,,,,,,48 V 10 Amp,,,,,,,,75 km/charge,,,,,,,Yes,,,,,,,,,,,,,,,,10 Degree,170 mm,LED,1150 mm,,Digital,,58 kg,,,1700 mm,200 kg,,,,,,Brand Motor,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,low,Single,,,,,Hydraulic Shockers,Double Dual Tube Hydraulic Shockers,,,LED,,25 kmph,,,,Manual,,Tubeless,LED,Front :-90/100-10	Rear :-90/100-10,,,,"Front :-254 mm,Rear :-254 mm",,Alloy,600 mm
65,Ozotec Flio,Rs.1.14 - 1.33 Lakh*,113999.99999999999,133000.0,,,,,,"3 in 1 Smart Lock System, Battery Management System","3 in 1 Smart Lock System, Battery Management System",19 L,,,,,,,,,Electric Bikes,,Disc,Disc,,,,,,,,,,,,,,,,,,,,,,Yes,,Hub Motor,,,,,,Yes,,,,,,,,,160 mm,LED,,,Digital,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Single,,Digital,Remote Start,,,Ultra Soft Suspension,,,LED,,,,,,,,Tubeless,LED,,Yes,19 L,,,,Alloy,
66,Joy e-bike Monster,Rs.1.10 Lakh*,110000.00000000001,110000.00000000001,,,,,,Turning Radius - 1.6 m,Turning Radius - 1.6 m,,,,,72 V / 23 Ah,Lithium-Ion (Fixed Type),,,,Electric Bikes,,Disc,Disc,,,,,,,,,,,Yes,,,,75 km/charge,Yes,,,,,,Yes,,Hub Motor,,,,,,,,,,,,,,,110 mm,LED,1070 mm,,Digital,,93 kg,,,1460 mm,,Yes,30 Nm,,,250,DC Brushless,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,750 mm,,Single,,Digital,Self Start Only,,Upside down Forks,Monoshock,,,LED,,25 kmph,,,195 kg,Automatic,Digital,Tubeless,LED,"Front :-120/70-12,	Rear :-130/70-12",,,,"Front :-355.6 mm,Rear :-355.6 mm",,Alloy,610 mm
67,Srivaru Motors Prana,Rs.2.25 - 3 Lakh*,225000.0,300000.0,,,,,,"3 Channel Hydraulic Brake System With Engine Cut-Off, Practice Mode - 45 kmph, Drive Mode - 123 kmph, Sports Mode - 123 kmph, Reverse Mode - 5 kmph","3 Channel Hydraulic Brake System With Engine Cut-Off, Practice Mode - 45 kmph, Drive Mode - 123 kmph, Sports Mode - 123 kmph, Reverse Mode - 5 kmph",,,,,7.2 kwh,,,,,"Electric Bikes, Sports Bikes",,Disc,Disc,,,,,,,,,,,,,,,225 km/charge,,,,Air Cooled,,,Yes,,Hub Motor,,Yes,,,,,,Steel Double Cradle Tube Frame,275 mm,,,,,,145 mm,LED,,,,,165 kg,,,2120 mm,180 kg,Yes,,,,,BLDC,,,,,,,,,Yes,,Yes,,,,,Yes,,,,,240 mm,,,,,,,,,Split,,Digital,Push Button Start,,,,,,LED,,123 kmph,,,,,Digital,Tubeless,LED,,,,,,1413 mm,Alloy,770 mm
68,Hayasa Ojas,"Rs.80,550*",80550.0,80550.0,,,,,,,,,,,,,,,,,Electric Bikes,,Disc,Disc,,,,,,,,,,,,,,,90 km/charge,,,,,,,,,Hub Motor,,,,,,,,,,,,,,,,LED,1030 mm,,,,,,,1830 mm,150 kg,,,,,230,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,Single,,Digital,Push Button Start,,,,,,LED,,25 kmph,,,,,Digital,Tubeless,LED,Front :-3.00 - 10	Rear :-3.00 - 10,,,,"Front :-254 mm,Rear :-254 mm",,Alloy,720 mm
69,Tunwal Storm ZX,"Rs.90,000*",90000.0,90000.0,,,,,,,,,,,,60 V/26 Ah,Lithium Ion,,,,Electric Bikes,,Disc,Drum,,,,,,,,,,,Yes,,,,75-120 km/charge,,,,,,,Yes,,Hub Motor,,Yes,,,,,,High Rigid Tubular Frame,,,,,,,,LED,,,Digital,,,,,,,,,,,,BLDC,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Single,,Digital,Push Button Start,,Hydrolic Suspention,,,,LED,,,,,,,Digital,Tubeless,LED,Front :-3.00-10	Rear :-3.00-10,,,,"Front :-254 mm,Rear :-254 mm",,Alloy,
70,Fidato Evtech 21,"Rs.89,199*",89199.0,89199.0,,,,,,,,,,Yes,,72V/30 Ah,Lithium-Ion,,,,Electric Bikes,,Disc,Disc,,,,,,Yes,,,,,,,,,80-110 km/charge,,,,,,,,,Hub Motor,,,,,,,,,,,,,,,,LED,1160 mm,,,,,,,1850 mm,200 kg,,,,,,Brushless DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single,,Digital,Push Button Start,,Hydraulic,,,,LED,,,,,,,Digital,Tubeless,LED,Front :-90/100-12	Rear :-90/100-12,Yes,,,"Front :-304.8 mm,Rear :-304.8 mm",,Alloy,700 mm
71,Hayasa Ira,"Rs.76,750*",76750.0,76750.0,,,,,,,,,,,,,,,,,Electric Bikes,,Disc,Disc,,,,,,,,,,,,,,,90 km/charge,,,,,,,,,Hub Motor,,,,,,,,,,,,,,,,LED,1030 mm,,,,,,,1830 mm,150 kg,,,,,230,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Single,,Digital,Push Button Start,,,,,,LED,,25 kmph,,,,,Digital,Tubeless,LED,Front :-3.00 - 10	Rear :-3.00 - 10,,,,"Front :-254 mm,Rear :-254 mm",,Alloy,720 mm
72,Tunwal Sport 63 Mini,"Rs.49,990*",49990.0,49990.0,,,,,,,,,,,,48 V/26 Ah,Lithium Ion,,,,Electric Bikes,,Drum,Drum,,,,,,,,,,,Yes,,,,55-70 km/charge,,,,,,,Yes,,Hub Motor,,Yes,,,,,,High Rigid Tubular Frame,,,,,,,,LED,,,Digital,,,,,,,,,,,,BLDC,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Single,,Digital,Push Button Start,,Hydrolic Suspention,,,,LED,,,,,,,Digital,Tubeless,LED,Front :-3.00-10	Rear :-3.00-10,,,,"Front :-254 mm,Rear :-254 mm",,Alloy,
73,Detel EV Easy Plus,"Rs.46,999*",46999.0,46999.0,,,,,,,,,,,,20 Ah,Lithium Ion,2 Years / 40000 km,,,"Electric Bikes, Moped Bikes",,Drum,Drum,,,,,,,,No,No,,,,,,60 km/charge,,,,,,,Yes,,Hub Motor,,,,,,,,,,,,,,,170 mm,LED,,,Digital,,,,,,170 kg,,,,,250,,1 Year,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Single,,Digital,Push Button Start,,,,,,,,25 kmph,,,,Automatic,Digital,Tubeless,LED,Front :-2.5 - 16	Rear :-2.5 - 16,,,,"Front :-406.4 mm,Rear :-406.4 mm",,Alloy,
74,Hayasa Daksha,"Rs.74,050*",74050.0,74050.0,,,,,,,,,,,,,,,,,Electric Bikes,,Disc,Disc,,,,,,,,,,,,,,,90 km/charge,,,,,,,,,Hub Motor,,,,,,,,,,,,,,,,LED,1030 mm,,,,,,,1830 mm,150 kg,,,,,230,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Single,,Digital,Push Button Start,,,,,,LED,,25 kmph,,,,,Digital,Tubeless,LED,Front :-3.00 - 10	Rear :-3.00 - 10,,,,"Front :-254 mm,Rear :-254 mm",,Alloy,720 mm
75,Trinity Motors Friend,Rs.1.04 - 1.13 Lakh*,104000.0,112999.99999999999,,,,,,,,Yes,,,,,,,,,Electric Bikes,Yes,Disc,Drum,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,Belt Drive,,,,,,,,,,,,,,,,LED,,,Digital,,,,,,,Yes,,,,1500,,,,,,,Digital,,,,,Yes,,,,,,,,,,,,,,,,,,high,Single,,Digital,Push Button Start,,,,,,LED,,72 kmph,,,,Automatic,Digital,Tubeless,LED,,,Yes,,,,Alloy,
76,Tunwal Mini Lithino,"Rs.54,990*",54990.0,54990.0,,,,,,,,,,,,48 V/26 Ah,Lithium Ion,,,,Electric Bikes,,Drum,Drum,,,,,,,,,,,Yes,,,,55-70 km/charge,,,,,,,Yes,,Hub Motor,,Yes,,,,,,High Rigid Tubular Frame,,,,,,,,LED,,,Digital,,,,,,,,,,,,BLDC,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Single,,Digital,Push Button Start,,Hydrolic Suspention,,,,LED,,,,,,,Digital,Tubeless,LED,Front :-3.00-10	Rear :-3.00-10,,,,"Front :-254 mm,Rear :-254 mm",,Alloy,
77,GT One Plus,"Rs.68,982 - 86,970*",68982.0,86970.0,,,,,,"E-ABS, I-CAT, Parking Mode","E-ABS, I-CAT, Parking Mode",Yes,,Yes,,60 V / 26 Ah,Lithium Ion,3 Years,,,Electric Bikes,,Disc,Disc,,,,Yes,Yes,Yes,,,,,Yes,,,,60-65 km/charge,,,,,Yes,,,,Hub Motor,,,,,,,,High Strength Tubular Frame,,,,,,9 Degree,155 mm,LED,1080 mm,,,,98 kg,,,1830 mm,150 kg,Yes,,,,250,BLDC,18 Months,,,1,,,,,,Yes,,,,,,,60-65 km/charge,,,,,,,,Yes,,,760 mm,low,Single,,Digital,Push Button Start,,Hydraulic Telescopic,Double Shocker With Dual Tube Technology,,,LED,,25 kmph,,,,Automatic,Digital,Tubeless,LED,Front :-3.00 - 10	Rear :-3.00 - 10,Yes,Yes,,"Front :-254 mm,Rear :-254 mm",,Alloy,720 mm
78,Fidato Evtech Future 2020,"Rs.70,300*",70300.0,70300.0,,,,,,,,,,Yes,,60V/28 Ah,Lithium-Ion,,,,Electric Bikes,,Disc,Disc,,,,,,Yes,,,,,,,,,60-80 km/charge,,,,,,,,,Hub Motor,,,,,,,,,,,,,,,,LED,1100 mm,,,,,,,1850 mm,180 kg,,,,,,Brushless DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single,,Digital,Push Button Start,,Hydraulic,,,,LED,,,,,,,Digital,Tubeless,LED,Front :-90/100-10	Rear :-90/100-10,Yes,,,"Front :-254 mm,Rear :-254 mm",,Alloy,720 mm
79,GT Flying,"Rs.54,338 - 77,763*",54338.0,77763.0,,,,,,"E -ABS, I CAT, ,Parking Mode","E -ABS, I CAT, ,Parking Mode",,,Yes,,60 V / 26 Ah,Lithium Ion,3 Years,,Yes,Electric Bikes,,Disc,Drum,,,,,,Yes,,,,,,,,,60-65 km/charge,,,,,,,,,Hub Motor,,,,,,,,High Strength Tubular Frame,,,,,,9 Degree,175 mm,LED,1100 mm,,TFT,,82 kg,,,1750 mm,130 kg,,,,,,BLDC,18 Months,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,760 mm,low,Single,,Digital,Push Button Start,,Hydraulic Telescopic,Double Shocker With Dual Tube Technology,,,LED,,,,,,Automatic,Digital,,LED,Front :-3.00 - 10	Rear :-3.00 - 10,Yes,,,"Front :-254 mm,Rear :-254 mm",,Alloy,660 mm
80,Birla A 1-4,Rs.1.60 - 2.28 Lakh*,160000.0,227999.99999999997,,,,,,"Driving Modes - Drive, Sports, Parking, Reverse, High power & quick acceleration","Driving Modes - Drive, Sports, Parking, Reverse, High power & quick acceleration",,,Yes,,105 Ah,Lithium Ion,,,,Electric Bikes,,,,,Combi Brake System,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,Digital,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Split,,Digital,Push Button Start,,Hydraulic Telescopic Suspension with Mono Shocker,,,,LED,,,,,,Automatic,Digital,Tubeless,LED,,,,,,,Alloy,
81,Komaki DT 3000,Rs.1.21 Lakh*,121000.0,121000.0,,,,,,"Smart BMS, Accesories Free Guard, Double Footrest, Additional Box, 110 KM min Range, Emergency Repair Switch, BIS Wheels Enhance Stability, Anti Theft Lock, Multiple Snesors, Slef Diagnosis, Wireless Updatable Features, VIVID Smart Dash","Smart BMS, Accesories Free Guard, Double Footrest, Additional Box, 110 KM min Range, Emergency Repair Switch, BIS Wheels Enhance Stability, Anti Theft Lock, Multiple Snesors, Slef Diagnosis, Wireless Updatable Features, VIVID Smart Dash",,,,,72 V / 46 Ah + 62 V / 52 Ah,Lithium Ion,,,,Electric Bikes,,Disc,Disc,,Synchronized Braking System,,,,,,,,,Yes,,,,140-160 km/charge,,,,,,,TFT Touch Screen,,,,,,,,,,,,,,,,,,LED,,,Digital,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Single,,Digital,Push Button Start,,,,,,LED,,,,,,Automatic,Digital,Tubeless,LED,,,,,,,Alloy,
82,GT Prime,"Rs.57,417 - 77,763*",57417.0,77763.0,,,,,,"E -ABS, I CAT, Parking Mode","E -ABS, I CAT, Parking Mode",,,Yes,,60 V / 26 Ah,Lithium Ion,3 Years,,,Electric Bikes,,Disc,Drum,,,,,,Yes,,,,,,,,,60-65 km/charge,,,,,,,,,Hub Motor,,,,,,,,High Strength Tubular Frame,,,,,,9 Degree,145 mm,LED,1065 mm,,TFT,,85 kg,,,1795 mm,,,,,,,BLDC,18 Months,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,Yes,,,730 mm,low,Single,,Digital,Push Button Start,,Hydraulic Telescopic,Double Shocker With Dual Tube Technology,,,LED,,,,,,Automatic,Digital,Tubeless,LED,Front :-3.00 - 10	Rear :-3.00 - 10,Yes,,,"Front :-254 mm,Rear :-254 mm",,Alloy,730 mm
83,AMO Electric Inspirer,"Rs.57,626 - 86,626*",57626.0,86626.0,,,,,,Speed Control Switch,Speed Control Switch,,,,,60 V/34 Ah,Lithium Ion,,,,Electric Bikes,,Drum,Drum,,,,,,,,No,No,,Yes,,,,80-90 km/charge,Yes,,,,,Yes,Yes,,,,Yes,,,,Yes,,High Rigid Tubular Frame,,,,,,18°,180 mm,LED,700 mm,,Digital,,62 kg,,,1960 mm,,Yes,,,,249,Brushless DC,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,740 mm,,Single,,Digital,Self Start Only,,Telescopic Fork,Spring Loaded Gas,,,Bulb,,25 kmph,,,230 kg,Automatic,,Tubeless,Bulb,"Front :-3.00-10,	Rear :-3.00-10",,,,"Front :-254 mm,Rear :-254 mm",,Alloy,700 mm
84,NIJ Automotive  Flion,"Rs.57,788 - 76,763*",57788.0,76763.0,,,,,,,,,,,,,Lithium Ion,,,,Electric Bikes,,Disc,Drum,,,,,,,,,,,,,,,,,,,,,Yes,,,Hub Motor,,,,,,,,,180 mm,,,,,12 Degree,175 mm,LED,1120 mm,,,,86 kg,,,1820 mm,150 kg,,,,,250,BLDC,,,,,,,,,,,,,,,,,,,,,130 mm,,,,Yes,Yes,,,,Single,,Digital,Push Button Start,,Telescopic,Dual Coil Spring Hydraulic Suspension,,,LED,,,,,,Automatic,Digital,Tubeless,LED,Front :-3.00 - 10	Rear :-3.00 - 10,Yes,,,"Front :-254 mm,Rear :-254 mm",1280 mm,Alloy,660 mm
85,Kabira Mobility Kollegio Plus,"Rs.65,490*",65490.0,65490.0,,,,,,"Live tracking, Intelligent anti theft & SOS, Trip History & Ride Statistics,","Live tracking, Intelligent anti theft & SOS, Trip History & Ride Statistics,",,,Yes,,60 V/35 Ah,Lithium Ion,1 Year,,,Electric Bikes,,Disc,Disc,,,,,,,,No,No,,Yes,,,,110 km/charge,Yes,,,,,,Yes,,Hub Motor,,,,,,Yes,,Rainforced Steel,,,,,Yes,,,LED,1060 mm,,Digital,,,,,1690 mm,,Yes,,Yes,,250,BLDC,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single,,Digital,"Remote Start,Push Button Start",,Spring Loaded,,,,LED,,24 kmph,,,,Automatic,Digital,Tubeless,LED,,,,,"Front :-254 mm,Rear :-254 mm",1200 mm,Alloy,690 mm
86,Aeroride E-Spark,"Rs.69,445 - 1.12 Lakh*",69445.0,112000.00000000001,,,,,,,,,,,,60 V / 30 Ah,Lithium-Ion,,,,Electric Bikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,1180 mm,,Digital,,58 Without Battery,,,1850 mm,,,,,,,,,,,2,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Digital,Push Button Start,,,,,,LED,,,,,,Automatic,Digital,,LED,,,,,,,,720 mm
87,AMO Electric Jaunty Plus,"Rs.74,460*",74460.0,74460.0,,,,,,"Speed Control Switch, EABS","Speed Control Switch, EABS",,,Yes,,60 V / 40 Ah,Lithium Ion,,,,Electric Bikes,,Disc,Drum,,,,,,Yes,,,,,Yes,,3-5 Hours,,120 km/charge,,,,,,Yes,Yes,,,,Yes,,Yes,,Yes,,High Rigid Tubular Frame Steel,,,,,,18 Degree,160 mm,LED,1070 mm,,,,82 kg,,,1840 mm,,,,,,1265,Brushless DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,730 mm,,Single,,Digital,Push Button Start,,Telescopic Fork,Spring Loaded Gas,,,Bulb,,50 kmph,,,233 kg,Automatic,Digital,Tubeless,Bulb,"Front :-3.00-10,	Rear :- 3.00-10",Yes,,,"Front :-254 mm,Rear :-254 mm",,Alloy,690 mm
88,Li-ions Elektrik Solutions Li-ions Spock Electric Scooter,"Rs.65,000*",65000.0,65000.0,,,No,,,"Driving Modes (Economy, Power, Reverse)","Driving Modes (Economy, Power, Reverse)",,,,,72 V/ 40 Ah,Lithium ion,,,,Electric Bikes,,Disc,Drum,,,,,,,,No,No,,Yes,,,,50 - 130 km/charge,,,,,,,,,Hub Motor,,,,,,,,,,,,,,,200 mm,Halogen,1260 mm,,Digital,,90 kg,,,1930 mm,160 kg,Yes,230 Nm,,,2000,BLDC,,,Yes,,,Digital,,,Yes,,,,,,,,,,,,,,,,,,,760 mm,,Single,,Digital,Self Start Only,,Telescopic hydraulic fork,Twin rear shock absorbers,,,Bulb,Digital,45 kmph,,,,Automatic,Digital,Tubeless,Bulb,Front :-90/90 -12	Rear :-90/90 -12,,,,"Front :-304.8 mm,Rear :-304.8 mm",1350 mm,Alloy,770 mm
89,GT Soul,"Rs.52,861 - 75,350*",52861.0,75350.0,,,,,,"E -ABS, I-CAT, Parking Mode","E -ABS, I-CAT, Parking Mode",,,Yes,,60 V / 26 Ah,Ltthium Ion,3 Years,,Yes,Electric Bikes,,Drum,Drum,,,,,,Yes,,,,,,,,,60-65 km/charge,,,,,,,,,Hub Drive,,,,,,,,High Strength Tubular Frame,,,,,,9 Degree,185 mm,LED,1090 mm,,TFT,,95 kg,,,1830 mm,130 kg,,,,,,BLDC,18 Month,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,760 mm,low,Single,,Digital,Push Button Start,,Hydraulic Telescopic,Double Shocker With Dual Tube Technology,,,LED,,,,,,Automatic,Digital,Tubeless,LED,Front :-3.00 - 10	Rear :-3.00 - 10,,,,"Front :-254 mm,Rear :-254 mm",,Alloy,700 mm
90,AMO Electric Jaunty,"Rs.65,064 - 90,064*",65064.0,90064.0,,,,,,Speed Control Switch,Speed Control Switch,,,,,60 V/34 Ah,Lithium Ion,,,,Electric Bikes,,Disc,Drum,,,,,,,,No,No,,Yes,,,,80-90 km/charge,Yes,,,,,Yes,Yes,,Hub Motor,,Yes,,Yes,,Yes,,High Rigid Tubular Frame,,,,,,,150 mm,LED,1108 mm,,Digital,,62 kg,,,1780 mm,,Yes,,,,249,Brushless DC,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,730 mm,,Single,,Digital,Self Start Only,,Telescopic Fork,Spring Loaded Gas,,,Bulb,,25 kmph,,,230 kg,Automatic,,Tubeless,Bulb,"Front :-3.00-10,	Rear :-3.00-10",,,,"Front :-254 mm,Rear :-254 mm",,Alloy,700 mm
91,Rowwet Trono,Rs.1.81 Lakh*,181000.0,181000.0,,,,,,,,,,,,72 V / 40 Ah,Lithium Ion,,,,"Electric Bikes, Sports Bikes",,Disc,Disc,,,,,,,,,,,,,,,,,,,,,,Yes,,Hub Motor,,,,,,,,,,,,,,,,LED,,,Digital,,,,,,,,,,,3000,,,,,,,Digital,,,,,,,,,,,,100 km/charge,,,,,,,,,,,,Split,,Digital,Push Button Start,,,,,,LED,,100 kmph,,,,,Digital,Tubeless,LED,,Yes,,,,,Alloy,
92,Komaki XGT Classic,Rs.1.11 Lakh*,111000.00000000001,111000.00000000001,,,,,,"SBS, Anti-theft lock","SBS, Anti-theft lock",,,,,,Lithium Ion,,,,Electric Bikes,,,,,,,,,,,,,,,,,,105 km/charge,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single,,Digital,Push Button Start,,,,,,LED,,,,,,Automatic,Digital,,LED,,,,,,,Alloy,
93,Thunderbolt EZ,"Rs.57,999*",57999.0,57999.0,,,,,,,,,,Yes,,60 V / 25 Ah,Lithium-Ion,,,,Electric Bikes,,,,,,,,,,,,,,,,,,80-90 Km/charge,,,,,,Yes,,,Hub Motor,,,,,,,,,,,,,,,170 mm,LED,,,Digital,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Single,,,,,Hydraulic Telescopic,Dual Shocker Dual Tube,,,LED,,,,,,,,Tubeless,LED,,Yes,,,,,,
94,Kabira Mobility Kollegio,"Rs.45,990*",45990.0,45990.0,,,,,,"Live tracking, Intelligent anti theft & SOS, Trip History & Ride Statistics","Live tracking, Intelligent anti theft & SOS, Trip History & Ride Statistics",,,Yes,,48 V/24 Ah,Lithium Ion,1 Year,,,Electric Bikes,,Disc,Drum,,,,,,,,No,No,,,,,,100 km/charge,,,,,,,Yes,,Hub Motor,,,,,,,,Rainforced Steel,,,,,Yes,,,LED,1030 mm,,Digital,,,,,1690 mm,,Yes,,Yes,,250,BLDC,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single,,Digital,"Remote Start,Push Button Start",,Spring Loaded,,,,LED,,24 kmph,,,,Automatic,Digital,Tubeless,LED,,,,,"Front :-254 mm,Rear :-254 mm",1210 mm,Alloy,700 mm
95,Raftaar Bumblebee,"Rs.88,000*",88000.0,88000.0,,,,,,,,,,Yes,,64 V / 30 Ah,LFP,,,,Electric Bikes,,Disc,Disc,,,,,,,,,,,Yes,,,,100 km/charge,,,,,,,,,Hub Motor,,Yes,,,,,,,,,,,,25 Degree,,LED,,,,,,,,,,,,Yes,,250,BLDC,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Single,,Digital,Push Button Start,,Telescopic Suspension,Dual Tube Spring Type Hydraulic Shockers,Yes,,LED,,,,,,,Digital,Tubeless,LED,"Front :-90/100-10,	Rear :-90/100-10",,,,"Front :-254 mm,Rear :-254 mm",,Alloy,
96,Zelio Eeva,"Rs.54,575 - 57,475*",54575.0,57475.0,,,,,,"Battery Weight -  8-10 Kg, Parking Gear, Front Storage Space, Reverse Parking","Battery Weight -  8-10 Kg, Parking Gear, Front Storage Space, Reverse Parking",,,Yes,,60 V/26-40 Ah,Lithium Ion,,,,Electric Bikes,,Disc,Drum,,,,,,Yes,,,,,,,,,60-120 km/charge,,,,,,Yes,,,,,,,,,,,,,,,,,,,LED,1120 mm,,,,118 kg,,,1860 mm,150 kg,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Single,,Digital,Push Button Start,,Hydraulic,,,,LED,,,,,,,Digital,Tubeless,LED,"Front :-90/100-10,	Rear :-90/100-10",Yes,,,"Front :-254 mm,Rear :-254 mm",,Alloy,680 mm
97,Poise Grace,"Rs.87,542 - 93,465*",87542.0,93465.0,,,,,,,,,,,,"60 V, 42 Ah",Lithium Ion,,,,Electric Bikes,,,,,,,,,,,,,,,,,,110-140 km/charge,,,,,,,,,Hub Motor,,,,,,,,,,,,,,,,LED,,,Digital,,,,,,,,,,,800,,,,,,,Digital,,,,,,,,,,,120 km/charge,,,,,,,,,,,,,Single,,Digital,Push Button Start,,,,Yes,,LED,,50 kmph,,,,,Digital,,LED,,,,,,,Alloy,
98,Odysse Electric Racer,"Rs.85,000*",85000.0,85000.0,,,,,,Anti Acceleration Lock,Anti Acceleration Lock,,,,,72V/28 Ah,Maintenance Free,,,Yes,Electric Bikes,,Disc,Drum,,,,,,,,No,No,,Yes,,,,70 km/charge,,,,,,,Yes,,Hub Motor,,,,,,,,,,,,,,,175 mm,LED,1130 mm,,,,,,,1890 mm,150 kg,Yes,,,,1200,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,810 mm,,Single,,Digital,"Remote Start,Push Button Start",,Telescopic,Spring loaded hydraulic,,,LED,,45 kmph,,,,Automatic,Digital,Tubeless,LED,Front :-90/90-12	Rear :-90/90-12,,,,"Front :-304.8 mm,Rear :-304.8 mm",1320 mm,Alloy,710 mm
99,NDS ECO MOTORS Lio Plus,Rs.1.24 Lakh*,124000.0,124000.0,,,,,,,,,,,,72V/21 Ah,Lithium Ion,,,Yes,Electric Bikes,,Disc,Drum,,,,,,,,No,No,,Yes,,,,165 km/charge,Yes,,,,Yes,,Yes,,Hub Motor,,Yes,2.5Units100kms range,,,,,,,,,,,,,Halogen,,,,,100 kg,,,2020 mm,,Yes,152.78 Nm @ 100 rpm,,,1600,BLDC,,,,2,,,,,,,Yes,,,,,,225 km/charge,190 km/charge,165 km/charge,,,,,,,,,,,Single,,Digital,Push Button Start,,,,,,LED,,55 kmph,152.78Nm @ 100rpm,,,Automatic,Digital,Tubeless,LED,"Front :-90/90-12,	Rear :-90/90-12",,,,"Front :-304.8 mm,Rear :-304.8 mm",1460 mm,Alloy,730 mm
